pin14,tri,pdir,pstreet,pcity,tcity,condo,av1,value,taxes,homeowner,white,black,hispanic,asian,medhinc,poverty,college,squarefoot,beds,walkscore,walkfac,elem_score,high_school_score,avg_school_score,appeal
2.0332E+13,Chicago,S,LASALLE,CHICAGO,CHICAGO,Non-condo,11558,108000,1585.2,1,0.009382566,0.96700966,0.012106538,0.006961259,30065,0.4081457,0.14972036,1223,3,73,Very Walkable,1,6,4,0
2.41441E+13,Chicago,S,SAWYER,CHICAGO,CHICAGO,Non-condo,19357,215000,3032.4399,1,0.95820069,0.011669849,0.064926796,0.015701251,87268,0.004163927,0.22353715,1320,3,55,Somewhat Walkable,10,8,9,0
1.40842E+13,Chicago,W,AINSLIE,CHICAGO,CHICAGO,Non-condo,76189,1364225,11644.69,0,0.50734878,0.2146693,0.096806102,0.24448842,32930,0.26304683,0.34463355,4800,12,82,Very Walkable,5,2,4,4199
1.41913E+13,Chicago,N,OAKLEY,CHICAGO,CHICAGO,Non-condo,61525,1091500,3215.55,0,0.88409758,0.01535549,0.087505259,0.063735798,92589,0.011498891,0.51704663,2620,4,76,Very Walkable,8,10,9,39109
1.1291E+13,Chicago,W,JUNEWAY,CHICAGO,CHICAGO,Non-condo,44434,380000,7200.3799,0,0.37288833,0.50206017,0.12690565,0.072929546,31063,0.32384947,0.18288909,1976,4,66,Somewhat Walkable,2,1,2,0
1.40721E+13,Chicago,W,SUMMERDALE,CHICAGO,CHICAGO,Non-condo,42633,379000,3999.46,1,0.70062733,0.046424091,0.26700124,0.21028858,55300,0.11562422,0.32494393,1111,3,84,Very Walkable,7,5,6,0
1.72231E+13,Chicago,E,18TH,CHICAGO,CHICAGO,Non-condo,60341,700000,10827.98,0,0.54436809,0.26328054,0.060651328,0.16301166,71563,0.12187837,0.54226327,2400,4,91,Walker's Paradise,4,4,4,0
1.43341E+13,Chicago,W,MENOMONEE,CHICAGO,CHICAGO,Non-condo,83075,905000,8770.46,1,0.88418865,0.04889043,0.040915396,0.048543688,85528,0.079786763,0.6964016,1438,4,94,Walker's Paradise,7,9,8,9793
1.40532E+13,Chicago,N,RIDGE,CHICAGO,CHICAGO,Non-condo,84301,656250,10377.2,0,0.6858483,0.083346367,0.25426114,0.17826428,62623,0.14217202,0.46225247,4950,12,93,Walker's Paradise,5,7,6,27671
1.3133E+13,Chicago,N,TROY,CHICAGO,CHICAGO,Non-condo,39731,355000,6576.8799,0,0.62893981,0.039828081,0.49541548,0.26446992,51393,0.13787422,0.27822027,3657,9,89,Very Walkable,4,2,3,3080
1.43113E+13,Chicago,W,DICKENS,CHICAGO,CHICAGO,Non-condo,66777,760000,10183.14,1,0.87040818,0.01904762,0.13945578,0.082312927,89420,0.075140685,0.63157892,2670,5,90,Walker's Paradise,9,4,7,8583
